,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,-8.45,37.14,800,Clear,clear sky,01n,stations,291.55,1015,77,289.26,292.59,10000,2.1,320,0,1569906502,1,6892,0.0065,PT,1569911321,1569953900,3600,2267254,Lagoa,200,,,,,,,,lagoa
1,-91.92,50.1,300,Drizzle,light intensity drizzle,09n,stations,278.15,1010,93,278.15,278.15,4828,1.5,50,90,1569906502,1,979,0.0104,CA,1569931640,1569973638,-18000,6148373,Sioux Lookout,200,,,,,,,,sioux lookout
1,-61.77,16.06,800,Clear,clear sky,01n,stations,298.15,1012,88,298.15,298.15,10000,0.5,50,0,1569906503,1,8780,0.0054,GP,1569923814,1569966995,-14400,3578278,Vieux-Habitants,200,,,,,,,,vieux-habitants
1,112.04,40.71,801,Clouds,few clouds,02d,stations,296.15,1016,49,296.15,296.15,10000,3,240,20,1569906503,1,9612,0.0083,CN,1569882447,1569924953,28800,2052479,Zhuhai,200,,,,,,,,zhuhai
1,125.69,42.54,800,Clear,clear sky,01d,stations,298.8,1016.59,46,298.8,298.8,,4.69,212.999,0,1569906503,,,0.0064,CN,1569879202,1569921648,28800,2035801,Meihekou,200,1016.59,972.31,,,,,,meihekou
1,139.49,-20.73,800,Clear,clear sky,01d,stations,308.15,1018,9,308.15,308.15,10000,3.6,130,0,1569906504,1,9495,0.0082,AU,1569875034,1569919193,36000,2065594,Mount Isa,200,,,,,,,,mount isa
1,-147.72,64.84,500,Rain,light rain,10n,stations,277.97,1010,87,275.93,280.15,16093,1.5,80,75,1569906378,1,7684,0.0093,US,1569859034,1569900261,-28800,5861897,Fairbanks,200,,,0.25,,,,,fairbanks
1,-156.47,20.89,802,Clouds,scattered clouds,03n,stations,297.93,1013,74,295.37,300.15,16093,8.7,50,40,1569906504,1,7879,0.0076,US,1569860195,1569903299,-36000,5847411,Kahului,200,,,,,,,,kahului
1,124.8,56.8,804,Clouds,overcast clouds,04d,stations,273.2,1013.41,92,273.2,273.2,,5.13,319.171,100,1569906504,,,0.0062,RU,1569879753,1569921523,32400,2016977,Serebryanyy Bor,200,1013.41,915.14,,,,,,serebryanyy bor
1,86.18,69.41,803,Clouds,broken clouds,04d,stations,272.15,1013,92,272.15,272.15,10000,5,150,75,1569906505,1,8951,0.0087,RU,1569889646,1569930164,25200,1507116,Dudinka,200,,,,,,,,dudinka
1,-66.38,50.2,803,Clouds,broken clouds,04n,stations,275.15,1023,69,275.15,275.15,24140,3.1,310,75,1569906505,1,1013,0.008,CA,1569925506,1569967515,-14400,6144312,Sept-Iles,200,,,,,,,,sept-iles
